MEN men NNP N:0 U:3 L:0 A:3 __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:AAA P2:aaa P3:A P4:a M ME MEN __nil__ __nil__ N EN MEN __nil__ __nil__ O
1 1 CD N:1 U:0 L:0 A:1 __nil__ __nil__ __nil__ __nil__ -Base- __nil__ __nil__ __nil__ __nil__ __nil__ P1:0 P2:0 P3:0 P4:0 1 __nil__ __nil__ __nil__ __nil__ 1 __nil__ __nil__ __nil__ __nil__ O
mutations mutat NNS N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaaaaaaa P2:aaaaaaaaa P3:a P4:a m mu mut muta mutat s ns ons ions tions O
mediate mediat VBP N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaaaaa P2:aaaaaaa P3:a P4:a m me med medi media e te ate iate diate O
clinical clinic JJ N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaaaaaa P2:aaaaaaaa P3:a P4:a c cl cli clin clini l al cal ical nical O
resistance resist NN N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaaaaaaaa P2:aaaaaaaaaa P3:a P4:a r re res resi resis e ce nce ance tance O
to to TO N:0 U:0 L:2 A:2 __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aa P2:aa P3:a P4:a t to __nil__ __nil__ __nil__ o to __nil__ __nil__ __nil__ O
menin menin NN N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaaa P2:aaaaa P3:a P4:a m me men meni menin n in nin enin menin O
inhibition inhibit NN N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaaaaaaaa P2:aaaaaaaaaa P3:a P4:a i in inh inhi inhib n on ion tion ition O
C c NN N:0 U:1 L:0 A:1 __nil__ __nil__ __nil__ __nil__ __nil__ -Type1- __nil__ -DNASym- -ProteinSymChar- __nil__ P1:A P2:a P3:A P4:a C __nil__ __nil__ __nil__ __nil__ C __nil__ __nil__ __nil__ __nil__ O
hromatin hromatin NN N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaaaaaa P2:aaaaaaaa P3:a P4:a h hr hro hrom hroma n in tin atin matin O
- - - N:0 U:0 L:0 A:1 -SpecificC1- __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:- P2:- P3:- P4:- - __nil__ __nil__ __nil__ __nil__ - __nil__ __nil__ __nil__ __nil__ O
binding bind NN N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaaaaa P2:aaaaaaa P3:a P4:a b bi bin bind bindi g ng ing ding nding O
